route_location_id,route_id,beginning_milepoint,ending_milepoint,location_id,facility_type,program,num_aadt,num_caadt,num_single_unit_caadt,num_combined_unit_caadt,street_name,from_description,to_description,num_lanes,nfc_name,posted_speed,ObjectId,Shape__Length
4705718-82-2498-0-0.1245602,4705718,0,0.1245602,82-2498,2 - Two-Way Roadway,Non-Trunkline,579,18,11,7,Ledyard St,2nd Ave,Cass Ave,2,Major collector,25,893,271.026005014524
1591508-82-6253-0-0.1937105,1591508,0,0.1937105,82-6253,2 - Two-Way Roadway,Non-Trunkline,2417,69,46,23,Hoover St,Hoover St,8 Mile/Groesbeck TURN,2,Major collector,30,894,423.416827200193
1591802-82-7747-0-0.1077712,1591802,0,0.1077712,82-7747,4 - Ramp,Ramp,13450,,,,153/M 39 Ramp,N M 39 Service Drive,N M 39,1,Other freeway,40,895,235.17993567016
4705718-82-2499-0.1245602-0.2487538,4705718,0.1245602,0.2487538,82-2499,2 - Two-Way Roadway,Non-Trunkline,2194,63,41,22,Ledyard St,3rd St,2nd Ave,2,Major collector,15,896,270.212310653214
1591803-82-2100-0-0.1115568,1591803,0,0.1115568,82-2100,4 - Ramp,Ramp,3930,,,,M 39/Warren Ramp,N M 39,N M 39 Service Drive,1,Other freeway,40,897,243.484075456986
4705723-82-0528-0.6155012-0.7340345,4705723,0.6155012,0.7340345,82-0528,4 - Ramp,Ramp,24128,,,,I 75/I 94 Ramp,Warren/E I 94 RAMP,Bridge 11821,2,Interstate,40,898,258.399120405944
4705723-82-5675-0-0.2997879,4705723,0,0.2997879,82-5675,4 - Ramp,Ramp,16632,,,,I 75/I 94 Ramp,Warren/E I 94 RAMP,Bridge 11821,2,Interstate,40,899,654.298369615321
1591804-82-1552-0-3.3820259,1591804,0,3.382026,82-1552,2 - Two-Way Roadway,Non-Trunkline,18307,493,347,146,Warren Ave W,Warren Rd,Greenfield,4,Other principal arterial,35,900,7355.10858199503
4705723-82-7640-0.2997879-0.4396303,4705723,0.2997879,0.4396303,82-7640,4 - Ramp,Ramp,21015,,,,I 75/I 94 Ramp,Warren/E I 94 RAMP,Bridge 11821,2,Interstate,40,901,305.265689663967
1591805-82-2103-0-0.1180062,1591805,0,0.1180062,82-2103,4 - Ramp,Ramp,8639,,,,Warren/M 39 Ramp,N M 39 Service Drive,N M 39,1,Other freeway,40,902,257.573567722838
1591806-82-2105-0-0.1272324,1591806,0,0.1272324,82-2105,4 - Ramp,Ramp,3966,,,,M 39/Joy Ramp,N M 39,N M 39 Service Drive,1,Other freeway,40,903,277.744605700193
4705723-82-7675-0.4396303-0.6155012,4705723,0.4396303,0.6155012,82-7675,4 - Ramp,Ramp,15285,,,,I 75/I 94 Ramp,Warren/E I 94 RAMP,Bridge 11821,2,Interstate,40,904,383.802434318286
1591808-82-2107-0-0.1423323,1591808,0,0.1423323,82-2107,4 - Ramp,Ramp,10355,,,,Joy/M 39 Ramp,N M 39 Service Drive,N M 39,1,Other freeway,40,905,310.753086993283
1591809-82-2109-0-0.1213648,1591809,0,0.1213648,82-2109,4 - Ramp,Ramp,4752,,,,M 39/Plymouth Ramp,N M 39,Southfield Service Drive,1,Other freeway,40,906,265.015083413898
4705731-82-1347-0.0548691-0.7137669,4705731,0.0548691,0.7137669,82-1347,2 - Two-Way Roadway,Non-Trunkline,1623,46,33,13,John R St,I 75/I 75 TURN,Brady St,4,Minor arterial,25,907,1436.9622968357
1591810-82-2379-0.8267755-1.1273193,1591810,0.8267755,1.127319,82-2379,1 - One-Way Roadway,Non-Trunkline,8232,238,156,82,Southfield Service Drive,Southfield Service,N M 39,2,Major collector,30,908,656.344839014423
4705731-82-1348-3.2469017-3.3320671,4705731,3.246902,3.332067,82-1348,1 - One-Way Roadway,Non-Trunkline,795,24,16,8,John R St,Holbrook St,John R St,4,Minor arterial,25,909,185.976337273548
1591810-82-6144-0-0.8267755,1591810,0,0.8267755,82-6144,1 - One-Way Roadway,Non-Trunkline,7473,214,141,73,Southfield Service Drive,N M 39,Southfield Service,2,Major collector,30,910,1805.42692316471
4705731-82-1716-1.3703501-3.2469017,4705731,1.37035,3.246902,82-1716,1 - One-Way Roadway,Non-Trunkline,2283,64,46,18,John R St,Canfield St,Holbrook St,4,Minor arterial,25,911,4094.67647912501
1591810-82-6145-1.1273193-2.442852,1591810,1.127319,2.442852,82-6145,1 - One-Way Roadway,Non-Trunkline,1490,40,27,13,Southfield Service Drive,N M 39,Grand River Ave,2,Major collector,30,912,2873.58935567255
4705731-82-5964-0-0.0548691,4705731,0,0.0548691,82-5964,2 - Two-Way Roadway,Non-Trunkline,312,9,6,3,John R St,Montcalm St,I 75/I 75 TURN,4,Minor arterial,25,913,119.643584180748
1591810-82-6146-2.442852-2.4812539,1591810,2.442852,2.481254,82-6146,1 - One-Way Roadway,Non-Trunkline,7786,227,149,78,Southfield Service Drive,Grand River Ave,N M 39,2,Major collector,30,914,83.8897920149887
