OBJECTID,FENAME,FETYPE,NFC,LegalSystem,Nhs,FedAid,COUNTYL,COUNTYR,SEMMCDL,SEMMCDR,COMMUNITYL,COUNTYNAMEL,COMMUNITYR,COUNTYNAMER,VER,lenmi,Shape__Length
53643,Saint Aubin,St,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.04338,229.1145432
53644,Saint Aubin,Blvd,5,4,0,Yes,163,163,5,1090,Detroit,Wayne,Hamtramck,Wayne,22,0.45504,2403.116324
53645,Saint Aubin,St,5,4,0,Yes,163,163,5,1090,Detroit,Wayne,Hamtramck,Wayne,22,0.24384,1287.758458
53646,Saint Aubin,St,5,5,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.21115,1115.13761
53649,Saint Aubin,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.10059,5812.357597
53669,Saint Clair,Ave,5,4,0,Yes,163,163,1065,1065,Grosse Pointe,Wayne,Grosse Pointe,Wayne,22,1.10962,5859.92266
53676,Saint Clair,St,7,4,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.39993,2112.099381
53678,Saint Clair,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.59906,8444.850575
53689,Saint Cyril,Ave,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.06952,5648.26315
53694,Saint Ervin,Ave,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.11173,590.038511
53697,Saint Francis,Ave,7,5,0,No,163,163,1120,1120,Livonia,Wayne,Livonia,Wayne,22,0.41675,2201.014522
53698,Saint Francis,Blvd,7,5,0,No,163,163,1120,1120,Livonia,Wayne,Livonia,Wayne,22,0.36805,1943.804148
53707,Saint Ignace,Ave,7,5,0,No,163,163,1220,1220,Wyandotte,Wayne,Wyandotte,Wayne,22,0.2332,1231.662102
53716,Saint James,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.17595,929.2356142
53720,Saint Jean,St,4,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.58527,3090.884208
53724,Saint Joe,Dr,7,5,0,No,163,163,1210,1210,Westland,Wayne,Westland,Wayne,22,0.21643,1143.082879
53730,Saint John,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.82199,4341.214911
53732,Saint Johns,Blvd,7,5,0,No,163,163,1115,1115,Lincoln Park,Wayne,Lincoln Park,Wayne,22,1.2476,6589.194123
53733,Saint Johns,Ct,7,5,0,No,163,163,1115,1115,Lincoln Park,Wayne,Lincoln Park,Wayne,22,0.04168,220.1441197
53737,Saint Joseph,Ave,7,4,0,No,163,163,1190,1190,Trenton,Wayne,Trenton,Wayne,22,0.55268,2919.094481
53738,Saint Joseph,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.63155,3335.34774
53739,Saint Joseph,Ave,7,5,0,No,163,163,1190,1190,Trenton,Wayne,Trenton,Wayne,22,0.04356,230.0712467
53744,Saint Lawrence,Blvd,0,0,0,No,163,163,1130,1130,Northville (Wayne),Wayne,Northville (Wayne),Wayne,22,0.32793,1731.998778
53745,Saint Lawrence,Ln,0,0,0,No,163,163,1130,1130,Northville (Wayne),Wayne,Northville (Wayne),Wayne,22,0.04601,243.0079065
53746,Saint Lawrence,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.88079,4651.76797
53751,Saint Louis,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,2.05421,10848.52493
53759,Saint Maron,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.19173,1012.548691
53760,Saint Martins,Ave,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.19066,1006.943351
53761,Saint Martins,St,7,3,0,No,163,163,1150,1150,Redford Twp,Wayne,Redford Twp,Wayne,22,0.4123,2177.531384
53763,Saint Martins,Ave,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,5.69022,30051.57194
53764,Saint Martins,Ave,7,5,0,No,163,163,1120,1120,Livonia,Wayne,Livonia,Wayne,22,1.7955,9482.74138
53765,Saint Martins,Rd,7,5,0,No,163,163,1120,1120,Livonia,Wayne,Livonia,Wayne,22,0.30475,1609.53935
53766,Saint Martins,St,7,5,0,No,163,163,1120,1120,Livonia,Wayne,Livonia,Wayne,22,0.14918,787.8724853
53769,Saint Marys,St,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.37507,1980.844579
53770,Saint Marys,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,6.66911,35221.75076
53773,Saint Michael,Ave,7,5,0,No,163,163,1110,1110,Inkster,Wayne,Inkster,Wayne,22,0.11427,603.5202611
53776,Saint Mihiel,Ave,7,5,0,No,163,163,1190,1190,Trenton,Wayne,Trenton,Wayne,22,0.28003,1479.066869
53779,Saint Patrick,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.64603,3411.735807
53782,Saint Paul,Ave,7,4,0,No,163,163,1065,1065,Grosse Pointe,Wayne,Grosse Pointe,Wayne,22,0.72217,3813.797554
53783,Saint Paul,Ave,7,4,0,No,163,163,1075,1075,Grosse Pointe Park,Wayne,Grosse Pointe Park,Wayne,22,1.33891,7070.847126
53784,Saint Paul,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.34143,7084.334145
53785,Saint Paul,Ave,7,5,0,No,163,163,1075,1075,Grosse Pointe Park,Wayne,Grosse Pointe Park,Wayne,22,0.02486,131.3108238
53786,Saint Paul,Ave,7,5,0,No,163,163,1190,1190,Trenton,Wayne,Trenton,Wayne,22,0.26197,1383.656036
53794,Saint Stephens,St,7,5,0,No,163,163,1165,1165,Rockwood,Wayne,Rockwood,Wayne,22,0.11881,627.5315661
53795,Saint Thomas,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.25925,1369.128768
53801,Sainte Anne,St,4,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.10925,576.9935756
53802,Sainte Anne,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.64923,3428.731233
